Log(E/eV)	r [M]	Theta	Synchr	Brems ei
14.5556	9.20749	0	15.5017	-1.52754
15.7778	9.20749	0	16.724	-1.47225
17	9.20749	0	17.9462	-1.42321
6	9.46044	0	7.28374	-2.57819
7.22222	9.46044	0	8.50596	-2.00617
8.44444	9.46044	0	9.72818	-1.7676
9.66667	9.46044	0	10.9504	-1.6145
10.8889	9.46044	0	12.1726	-1.50153
12.1111	9.46044	0	13.3949	-1.41196
13.3333	9.46044	0	14.6171	-1.33774
14.5556	9.46044	0	15.8393	-1.27438
15.7778	9.46044	0	17.0615	-1.21909
17	9.46044	0	18.2837	-1.17005
6	9.71339	0	7.43432	-2.46526
7.22222	9.71339	0	8.65654	-1.89324
8.44444	9.71339	0	9.87876	-1.65467
9.66667	9.71339	0	11.101	-1.50157
10.8889	9.71339	0	12.3232	-1.3886
12.1111	9.71339	0	13.5454	-1.29903
13.3333	9.71339	0	14.7676	-1.22481
14.5556	9.71339	0	15.9899	-1.16145
15.7778	9.71339	0	17.2121	-1.10616
17	9.71339	0	18.4343	-1.05712
6	9.96634	0	7.42126	-2.47506
7.22222	9.96634	0	8.64348	-1.90304
8.44444	9.96634	0	9.8657	-1.66446
9.66667	9.96634	0	11.0879	-1.51136
10.8889	9.96634	0	12.3101	-1.39839
12.1111	9.96634	0	13.5324	-1.30882
13.3333	9.96634	0	14.7546	-1.23461
14.5556	9.96634	0	15.9768	-1.17124
15.7778	9.96634	0	17.199	-1.11595
17	9.96634	0	18.4213	-1.06692
6	10.2193	0	7.26507	-2.59219
7.22222	10.2193	0	8.4873	-2.02017
8.44444	10.2193	0	9.70952	-1.7816
9.66667	10.2193	0	10.9317	-1.6285
10.8889	10.2193	0	12.154	-1.51553
12.1111	10.2193	0	13.3762	-1.42596
13.3333	10.2193	0	14.5984	-1.35174
14.5556	10.2193	0	15.8206	-1.28838
15.7778	10.2193	0	17.0429	-1.23309
17	10.2193	0	18.2651	-1.18405
6	10.4722	0	6.98381	-2.80314
7.22222	10.4722	0	8.20603	-2.23112
8.44444	10.4722	0	9.42825	-1.99255
9.66667	10.4722	0	10.6505	-1.83945
10.8889	10.4722	0	11.8727	-1.72648
12.1111	10.4722	0	13.0949	-1.63691
13.3333	10.4722	0	14.3171	-1.56269
14.5556	10.4722	0	15.5394	-1.49933
15.7778	10.4722	0	16.7616	-1.44404
17	10.4722	0	17.9838	-1.395
6	10.7252	0	6.59334	-3.09599
7.22222	10.7252	0	7.81556	-2.52397
8.44444	10.7252	0	9.03779	-2.2854
9.66667	10.7252	0	10.26	-2.1323
10.8889	10.7252	0	11.4822	-2.01933
12.1111	10.7252	0	12.7045	-1.92976
13.3333	10.7252	0	13.9267	-1.85554
14.5556	10.7252	0	15.1489	-1.79218
15.7778	10.7252	0	16.3711	-1.73689
17	10.7252	0	17.5933	-1.68785
6	10.9782	0	6.10766	-3.46026
7.22222	10.9782	0	7.32988	-2.88824
8.44444	10.9782	0	8.5521	-2.64967
9.66667	10.9782	0	9.77432	-2.49656
10.8889	10.9782	0	10.9965	-2.38359
12.1111	10.9782	0	12.2188	-2.29402
13.3333	10.9782	0	13.441	-2.21981
