Log(E/eV)	r [M]	Theta	Synchr
13.3333	15.0254	0	-0.483982
14.5556	15.0254	0	0.738241
15.7778	15.0254	0	1.96046
17	15.0254	0	3.18269
6	15.2783	0	-8.82643
7.22222	15.2783	0	-7.6042
8.44444	15.2783	0	-6.38198
9.66667	15.2783	0	-5.15976
10.8889	15.2783	0	-3.93754
12.1111	15.2783	0	-2.71531
13.3333	15.2783	0	-1.49309
14.5556	15.2783	0	-0.27087
15.7778	15.2783	0	0.951352
17	15.2783	0	2.17357
6	15.5313	0	-9.83583
7.22222	15.5313	0	-8.61361
8.44444	15.5313	0	-7.39138
9.66667	15.5313	0	-6.16916
10.8889	15.5313	0	-4.94694
12.1111	15.5313	0	-3.72472
13.3333	15.5313	0	-2.5025
14.5556	15.5313	0	-1.28027
15.7778	15.5313	0	-0.0580512
17	15.5313	0	1.16417
6	15.7842	0	-10.8441
7.22222	15.7842	0	-9.62192
8.44444	15.7842	0	-8.3997
9.66667	15.7842	0	-7.17748
10.8889	15.7842	0	-5.95526
12.1111	15.7842	0	-4.73303
13.3333	15.7842	0	-3.51081
14.5556	15.7842	0	-2.28859
15.7778	15.7842	0	-1.06637
17	15.7842	0	0.155856
6	16.0372	0	-11.8502
7.22222	16.0372	0	-10.6279
8.44444	16.0372	0	-9.40571
9.66667	16.0372	0	-8.18348
10.8889	16.0372	0	-6.96126
12.1111	16.0372	0	-5.73904
13.3333	16.0372	0	-4.51682
14.5556	16.0372	0	-3.2946
15.7778	16.0372	0	-2.07237
17	16.0372	0	-0.850151
6	16.2902	0	-12.8528
7.22222	16.2902	0	-11.6306
8.44444	16.2902	0	-10.4083
9.66667	16.2902	0	-9.18611
10.8889	16.2902	0	-7.96389
12.1111	16.2902	0	-6.74166
13.3333	16.2902	0	-5.51944
14.5556	16.2902	0	-4.29722
15.7778	16.2902	0	-3.075
17	16.2902	0	-1.85277
6	16.5431	0	-13.8511
7.22222	16.5431	0	-12.6288
8.44444	16.5431	0	-11.4066
9.66667	16.5431	0	-10.1844
10.8889	16.5431	0	-8.96217
12.1111	16.5431	0	-7.73995
13.3333	16.5431	0	-6.51773
14.5556	16.5431	0	-5.29551
15.7778	16.5431	0	-4.07329
17	16.5431	0	-2.85106
6	16.7961	0	-14.8442
7.22222	16.7961	0	-13.622
8.44444	16.7961	0	-12.3997
9.66667	16.7961	0	-11.1775
10.8889	16.7961	0	-9.9553
12.1111	16.7961	0	-8.73307
13.3333	16.7961	0	-7.51085
14.5556	16.7961	0	-6.28863
15.7778	16.7961	0	-5.06641
17	16.7961	0	-3.84419
6	17.049	0	-15.8314
7.22222	17.049	0	-14.6092
8.44444	17.049	0	-13.387
9.66667	17.049	0	-12.1647
10.8889	17.049	0	-10.9425
12.1111	17.049	0	-9.7203
13.3333	17.049	0	-8.49807
14.5556	17.049	0	-7.27585
15.7778	17.049	0	-6.05363
17	17.049	0	-4.83141
6	17.302	0	-16.8121
7.22222	17.302	0	-15.5899
8.44444	17.302	0	-14.3676
9.66667	17.302	0	-13.1454
10.8889	17.302	0	-11.9232
12.1111	17.302	0	-10.701
13.3333	17.302	0	-9.47875
14.5556	17.302	0	-8.25653
15.7778	17.302	0	-7.03431
17	17.302	0	-5.81209
6	17.5549	0	-17.7857
7.22222	17.5549	0	-16.5634
8.44444	17.5549	0	-15.3412
9.66667	17.5549	0	-14.119
10.8889	17.5549	0	-12.8968
12.1111	17.5549	0	-11.6746
13.3333	17.5549	0	-10.4523
14.5556	17.5549	0	-9.23011
15.7778	17.5549	0	-8.00789
17	17.5549	0	-6.78567
6	17.8079	0	-18.7517
7.22222	17.8079	0	-17.5294
8.44444	17.8079	0	-16.3072
9.66667	17.8079	0	-15.085
10.8889	17.8079	0	-13.8628
12.1111	17.8079	0	-12.6406
13.3333	17.8079	0	-11.4183
14.5556	17.8079	0	-10.1961
15.7778	17.8079	0	-8.97389
17	17.8079	0	-7.75166
6	18.0608	0	-19.7097
7.22222	18.0608	0	-18.4874
8.44444	18.0608	0	-17.2652
9.66667	18.0608	0	-16.043
10.8889	18.0608	0	-14.8208
12.1111	18.0608	0	-13.5985
13.3333	18.0608	0	-12.3763
14.5556	18.0608	0	-11.1541
15.7778	18.0608	0	-9.93188
17	18.0608	0	-8.70966
6	18.3138	0	-20.6593
7.22222	18.3138	0	-19.4371
8.44444	18.3138	0	-18.2148
9.66667	18.3138	0	-16.9926
10.8889	18.3138	0	-15.7704
12.1111	18.3138	0	-14.5482
13.3333	18.3138	0	-13.3259
14.5556	18.3138	0	-12.1037
15.7778	18.3138	0	-10.8815
17	18.3138	0	-9.65928
6	18.5667	0	-21.6002
7.22222	18.5667	0	-20.378
8.44444	18.5667	0	-19.1558
9.66667	18.5667	0	-17.9336
10.8889	18.5667	0	-16.7113
12.1111	18.5667	0	-15.4891
13.3333	18.5667	0	-14.2669
14.5556	18.5667	0	-13.0447
15.7778	18.5667	0	-11.8225
17	18.5667	0	-10.6002
6	18.8197	0	-22.5322
7.22222	18.8197	0	-21.31
8.44444	18.8197	0	-20.0878
9.66667	18.8197	0	-18.8656
10.8889	18.8197	0	-17.6434
12.1111	18.8197	0	-16.4211
13.3333	18.8197	0	-15.1989
14.5556	18.8197	0	-13.9767
15.7778	18.8197	0	-12.7545
17	18.8197	0	-11.5322
6	19.0726	0	-23.4551
7.22222	19.0726	0	-22.2329
8.44444	19.0726	0	-21.0107
9.66667	19.0726	0	-19.7884
10.8889	19.0726	0	-18.5662
12.1111	19.0726	0	-17.344
13.3333	19.0726	0	-16.1218
14.5556	19.0726	0	-14.8995
15.7778	19.0726	0	-13.6773
17	19.0726	0	-12.4551
6	19.3256	0	-24.3686
7.22222	19.3256	0	-23.1464
8.44444	19.3256	0	-21.9242
9.66667	19.3256	0	-20.702
10.8889	19.3256	0	-19.4797
12.1111	19.3256	0	-18.2575
13.3333	19.3256	0	-17.0353
14.5556	19.3256	0	-15.8131
15.7778	19.3256	0	-14.5909
17	19.3256	0	-13.3686
6	19.5785	0	-25.2727
7.22222	19.5785	0	-24.0505
8.44444	19.5785	0	-22.8282
9.66667	19.5785	0	-21.606
10.8889	19.5785	0	-20.3838
12.1111	19.5785	0	-19.1616
13.3333	19.5785	0	-17.9393
14.5556	19.5785	0	-16.7171
15.7778	19.5785	0	-15.4949
17	19.5785	0	-14.2727
6	19.8315	0	-26.1671
7.22222	19.8315	0	-24.9449
8.44444	19.8315	0	-23.7227
9.66667	19.8315	0	-22.5005
10.8889	19.8315	0	-21.2782
12.1111	19.8315	0	-20.056
13.3333	19.8315	0	-18.8338
14.5556	19.8315	0	-17.6116
15.7778	19.8315	0	-16.3893
17	19.8315	0	-15.1671
6	20.0844	0	-27.0519
7.22222	20.0844	0	-25.8297
8.44444	20.0844	0	-24.6074
9.66667	20.0844	0	-23.3852
10.8889	20.0844	0	-22.163
12.1111	20.0844	0	-20.9408
13.3333	20.0844	0	-19.7185
14.5556	20.0844	0	-18.4963
15.7778	20.0844	0	-17.2741
17	20.0844	0	-16.0519
6	20.3374	0	-27.9269
7.22222	20.3374	0	-26.7047
8.44444	20.3374	0	-25.4824
9.66667	20.3374	0	-24.2602
10.8889	20.3374	0	-23.038
12.1111	20.3374	0	-21.8158
13.3333	20.3374	0	-20.5936
14.5556	20.3374	0	-19.3713
15.7778	20.3374	0	-18.1491
17	20.3374	0	-16.9269
6	20.5903	0	-28.7921
7.22222	20.5903	0	-27.5699
8.44444	20.5903	0	-26.3477
9.66667	20.5903	0	-25.1254
10.8889	20.5903	0	-23.9032
12.1111	20.5903	0	-22.681
13.3333	20.5903	0	-21.4588
14.5556	20.5903	0	-20.2365
15.7778	20.5903	0	-19.0143
17	20.5903	0	-17.7921
6	20.8433	0	-29.6475
7.22222	20.8433	0	-28.4253
8.44444	20.8433	0	-27.203
9.66667	20.8433	0	-25.9808
10.8889	20.8433	0	-24.7586
12.1111	20.8433	0	-23.5364
13.3333	20.8433	0	-22.3142
14.5556	20.8433	0	-21.0919
15.7778	20.8433	0	-19.8697
17	20.8433	0	-18.6475
6	21.0962	0	-30.4931
7.22222	21.0962	0	-29.2708
8.44444	21.0962	0	-28.0486
9.66667	21.0962	0	-26.8264
10.8889	21.0962	0	-25.6042
12.1111	21.0962	0	-24.3819
13.3333	21.0962	0	-23.1597
14.5556	21.0962	0	-21.9375
15.7778	21.0962	0	-20.7153
17	21.0962	0	-19.4931
6	21.3492	0	-31.3288
7.22222	21.3492	0	-30.1066
8.44444	21.3492	0	-28.8844
9.66667	21.3492	0	-27.6621
10.8889	21.3492	0	-26.4399
12.1111	21.3492	0	-25.2177
13.3333	21.3492	0	-23.9955
14.5556	21.3492	0	-22.7733
15.7778	21.3492	0	-21.551
17	21.3492	0	-20.3288
6	21.6022	0	-32.1548
7.22222	21.6022	0	-30.9326
8.44444	21.6022	0	-29.7103
9.66667	21.6022	0	-28.4881
10.8889	21.6022	0	-27.2659
12.1111	21.6022	0	-26.0437
13.3333	21.6022	0	-24.8214
14.5556	21.6022	0	-23.5992
15.7778	21.6022	0	-22.377
17	21.6022	0	-21.1548
6	21.8551	0	-32.971
7.22222	21.8551	0	-31.7488
8.44444	21.8551	0	-30.5265
9.66667	21.8551	0	-29.3043
10.8889	21.8551	0	-28.0821
12.1111	21.8551	0	-26.8599
13.3333	21.8551	0	-25.6377
14.5556	21.8551	0	-24.4154
15.7778	21.8551	0	-23.1932
17	21.8551	0	-21.971
6	22.1081	0	-33.7775
7.22222	22.1081	0	-32.5553
8.44444	22.1081	0	-31.333
9.66667	22.1081	0	-30.1108
10.8889	22.1081	0	-28.8886
12.1111	22.1081	0	-27.6664
13.3333	22.1081	0	-26.4442
14.5556	22.1081	0	-25.2219
15.7778	22.1081	0	-23.9997
17	22.1081	0	-22.7775
6	22.361	0	-34.5743
7.22222	22.361	0	-33.3521
8.44444	22.361	0	-32.1299
9.66667	22.361	0	-30.9077
10.8889	22.361	0	-29.6854
12.1111	22.361	0	-28.4632
13.3333	22.361	0	-27.241
14.5556	22.361	0	-26.0188
15.7778	22.361	0	-24.7966
17	22.361	0	-23.5743
6	22.614	0	-35.3616
7.22222	22.614	0	-34.1394
8.44444	22.614	0	-32.9171
9.66667	22.614	0	-31.6949
10.8889	22.614	0	-30.4727
12.1111	22.614	0	-29.2505
13.3333	22.614	0	-28.0283
14.5556	22.614	0	-26.806
15.7778	22.614	0	-25.5838
17	22.614	0	-24.3616
6	22.8669	0	-36.1393
7.22222	22.8669	0	-34.9171
8.44444	22.8669	0	-33.6949
9.66667	22.8669	0	-32.4727
10.8889	22.8669	0	-31.2504
12.1111	22.8669	0	-30.0282
13.3333	22.8669	0	-28.806
14.5556	22.8669	0	-27.5838
15.7778	22.8669	0	-26.3615
17	22.8669	0	-25.1393
