gamma	 omPrim	 omMin	 omMax	 probtot
3.16228	0.149552	0.00375601	1.99744	0.943877
3.16228	0.405627	0.00943915	2.56754	0.897103
3.16228	1.10017	0.021349	3.26245	0.911141
3.16228	2.98396	0.0399194	5.14624	0.944542
3.16228	8.09332	0.0587664	10.2556	0.953503
3.98107	2.19513e-12	3.57633e-14	1.34736e-10	897827
3.98107	5.95379e-12	9.69997e-14	3.6544e-10	124523
3.98107	1.61483e-11	2.6309e-13	9.91174e-10	16773.1
3.98107	4.37986e-11	7.13571e-13	2.68833e-09	2235.75
3.98107	1.18794e-10	1.9354e-12	7.29149e-09	311.633
3.98107	3.22201e-10	5.24933e-12	1.97765e-08	41.8465
3.98107	8.73897e-10	1.42376e-11	5.36393e-08	6.30087
3.98107	2.37025e-09	3.86163e-11	1.45484e-07	1.56276
3.98107	6.42875e-09	1.04738e-10	3.94593e-07	1.05761
3.98107	1.74365e-08	2.84078e-10	1.07024e-06	1.02685
3.98107	4.72926e-08	7.70496e-10	2.90279e-06	1.02473
3.98107	1.2827e-07	2.0898e-09	7.87316e-06	1.02475
3.98107	3.47905e-07	5.6681e-09	2.13541e-05	1.02476
3.98107	9.43612e-07	1.53734e-08	5.79175e-05	1.02476
3.98107	2.55933e-06	4.16969e-08	0.000157084	1.02476
3.98107	6.94161e-06	1.13093e-07	0.000426026	1.02476
3.98107	1.88275e-05	3.06739e-07	0.00115528	1.02475
3.98107	5.10654e-05	8.31952e-07	0.00313186	1.02475
3.98107	0.000138503	2.25643e-06	0.00848285	1.02474
3.98107	0.000375659	6.11968e-06	0.0229228	1.02471
3.98107	0.00101889	1.65955e-05	0.0615561	1.02474
3.98107	0.0027635	4.49916e-05	0.162582	1.0255
3.98107	0.00749538	0.000121882	0.411709	1.03237
3.98107	0.0203295	0.0003295	0.946358	1.08572
3.98107	0.0551392	0.000885863	1.81569	1.63248
3.98107	0.149552	0.00234692	2.74559	0.933589
3.98107	0.405627	0.00598842	3.38471	0.878508
3.98107	1.10017	0.0139939	4.08124	0.878286
3.98107	2.98396	0.0275948	5.96503	0.936348
3.98107	8.09332	0.0430053	11.0744	0.958423
5.01187	2.19513e-12	2.22934e-14	2.16144e-10	614455
5.01187	5.95379e-12	6.04659e-14	5.86242e-10	84960.7
5.01187	1.61483e-11	1.64e-13	1.59005e-09	11744.6
5.01187	4.37986e-11	4.44812e-13	4.31264e-09	1578.2
5.01187	1.18794e-10	1.20645e-12	1.16971e-08	212.759
5.01187	3.22201e-10	3.27223e-12	3.17256e-08	29.6523
5.01187	8.73897e-10	8.87518e-12	8.60485e-08	4.53412
5.01187	2.37025e-09	2.40719e-11	2.33387e-07	1.38439
5.01187	6.42875e-09	6.52895e-11	6.33009e-07	1.05047
5.01187	1.74365e-08	1.77083e-10	1.71689e-06	1.02753
5.01187	4.72926e-08	4.80297e-10	4.65668e-06	1.02611
5.01187	1.2827e-07	1.3027e-09	1.26302e-05	1.02601
5.01187	3.47905e-07	3.53327e-09	3.42563e-05	1.02601
5.01187	9.43612e-07	9.58319e-09	9.29113e-05	1.02601
5.01187	2.55933e-06	2.59922e-08	0.000251993	1.02601
5.01187	6.94161e-06	7.04979e-08	0.000683413	1.02601
5.01187	1.88275e-05	1.91209e-07	0.00185317	1.02601
5.01187	5.10654e-05	5.18608e-07	0.00502308	1.026
5.01187	0.000138503	1.40658e-06	0.0136004	1.02598
5.01187	0.000375659	3.81485e-06	0.0367156	1.02595
5.01187	0.00101889	1.03456e-05	0.0983367	1.02603
5.01187	0.0027635	2.80501e-05	0.257962	1.0273
5.01187	0.00749538	7.60072e-05	0.642466	1.0384
5.01187	0.0203295	0.000205621	1.4263	1.1256
5.01187	0.0551392	0.000553831	2.59243	0.95243
5.01187	0.149552	0.00147439	3.71111	0.921576
5.01187	0.405627	0.00380815	4.41326	0.857186
5.01187	1.10017	0.00914529	5.11204	0.840627
5.01187	2.98396	0.0189236	6.99584	0.933609
5.01187	8.09332	0.0312381	12.1052	0.965758
6.30957	2.19513e-12	1.39607e-14	3.45154e-10	427912
6.30957	5.95379e-12	3.78652e-14	9.36153e-10	57647.1
6.30957	1.61483e-11	1.02701e-13	2.5391e-09	8123.16
6.30957	4.37986e-11	2.78552e-13	6.88674e-09	1100.57
6.30957	1.18794e-10	7.5551e-13	1.86787e-08	143.472
6.30957	3.22201e-10	2.04915e-12	5.06618e-08	20.8367
6.30957	8.73897e-10	5.55785e-12	1.37408e-07	3.3895
6.30957	2.37025e-09	1.50744e-11	3.72689e-07	1.27337
6.30957	6.42875e-09	4.08859e-11	1.01083e-06	1.04564
6.30957	1.74365e-08	1.10894e-10	2.74166e-06	1.02843
6.30957	4.72926e-08	3.00774e-10	7.43612e-06	1.02695
6.30957	1.2827e-07	8.15781e-10	2.01687e-05	1.02696
6.30957	3.47905e-07	2.21262e-09	5.47028e-05	1.02697
6.30957	9.43612e-07	6.00123e-09	0.000148367	1.02697
6.30957	2.55933e-06	1.6277e-08	0.000402395	1.02697
6.30957	6.94161e-06	4.41475e-08	0.00109128	1.02697
6.30957	1.88275e-05	1.1974e-07	0.00295898	1.02696
6.30957	5.10654e-05	3.24765e-07	0.00801908	1.02695
6.30957	0.000138503	8.8084e-07	0.0217024	1.02693
6.30957	0.000375659	2.38899e-06	0.058516	1.0269
6.30957	0.00101889	6.47892e-06	0.156215	1.02705
6.30957	0.0027635	1.75677e-05	0.406361	1.02916
6.30957	0.00749538	4.76125e-05	0.992064	1.04699
